Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Transistor Type","Current - Collector (Ic) (Max)","Voltage - Collector Emitter Breakdown (Max)","Resistor - Base (R1) (Ohms)","Vce Saturation (Max) @ Ib, Ic","Current - Collector Cutoff (Max)","Resistor - Emitter Base (R2) (Ohms)","DC Current Gain (hFE) (Min) @ Ic, Vce","Power - Max","Frequency - Transition","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package"
http://www.diodes.com/_files/datasheets/SXTA42.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT89-3L.jpg,SXTA42CT-ND,SXTA42TA,Diodes Incorporated,TRANS NPN 300V 0.5A SOT89,928,217000,"0.48000","0","1","Cut Tape (CT)","-","Active","NPN","500mA","300V","500mV @ 2mA, 20mA","100nA (ICBO)","40 @ 30mA, 10V","1W","50MHz","-65°C ~ 150°C (TJ)","Surface Mount","TO-243AA","SOT-89-3"
http://www.diodes.com/_files/datasheets/SXTA42.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT89-3L.jpg,SXTA42DKR-ND,SXTA42TA,Diodes Incorporated,TRANS NPN 300V 0.5A SOT89,928,217000,"Calculate","0","1","Digi-Reel®","-","Active","NPN","500mA","300V","500mV @ 2mA, 20mA","100nA (ICBO)","40 @ 30mA, 10V","1W","50MHz","-65°C ~ 150°C (TJ)","Surface Mount","TO-243AA","SOT-89-3"
http://www.diodes.com/_files/datasheets/ds30786.pdf,//media.digikey.com/Photos/Diodes%20Photos/MFG_AZ1117I-SOT223.jpg,DZT951DITR-ND,DZT951-13,Diodes Incorporated,TRANS PNP 60V 5A SOT-223,0,0,"Call","0","2500","Tape & Reel (TR)","-","Active","PNP","5A","60V","460mV @ 500mA, 5A","50nA (ICBO)","100 @ 2A, 1V","1W","120MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-261-4, TO-261AA","SOT-223"
http://www.diodes.com/_files/datasheets/ds30786.pdf,//media.digikey.com/Photos/Diodes%20Photos/MFG_AZ1117I-SOT223.jpg,DZT951DICT-ND,DZT951-13,Diodes Incorporated,TRANS PNP 60V 5A SOT-223,1904,0,"0.48000","0","1","Cut Tape (CT)","-","Discontinued","PNP","5A","60V","460mV @ 500mA, 5A","50nA (ICBO)","100 @ 2A, 1V","1W","120MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-261-4, TO-261AA","SOT-223"
http://www.diodes.com/_files/datasheets/ds30786.pdf,//media.digikey.com/Photos/Diodes%20Photos/MFG_AZ1117I-SOT223.jpg,DZT951DIDKR-ND,DZT951-13,Diodes Incorporated,TRANS PNP 60V 5A SOT-223,0,0,"Calculate","0","1","Digi-Reel®","-","Discontinued","PNP","5A","60V","460mV @ 500mA, 5A","50nA (ICBO)","100 @ 2A, 1V","1W","120MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-261-4, TO-261AA","SOT-223"
http://www.diodes.com/_files/datasheets/ds31608.pdf,"//media.digikey.com/Renders/Diodes%20Renders/MFG_TO-252-3,D-Pak,SC-63.jpg",MJD350-13DITR-ND,MJD350-13,Diodes Incorporated,TRANS PNP 300V 0.5A DPAK,0,0,"0.20925","0","2500","Tape & Reel (TR)","-","Active","PNP","500mA","300V","-","100µA (ICBO)","30 @ 50mA, 10V","15W","-","-55°C ~ 150°C (TJ)","Surface Mount","TO-252-3, DPak (2 Leads + Tab), SC-63","DPAK"
http://www.diodes.com/_files/datasheets/ds31608.pdf,"//media.digikey.com/Renders/Diodes%20Renders/MFG_TO-252-3,D-Pak,SC-63.jpg",MJD350-13DICT-ND,MJD350-13,Diodes Incorporated,TRANS PNP 300V 0.5A DPAK,1856,0,"0.48000","0","1","Cut Tape (CT)","-","Active","PNP","500mA","300V","-","100µA (ICBO)","30 @ 50mA, 10V","1.56W","-","-55°C ~ 150°C (TJ)","Surface Mount","TO-252-3, DPak (2 Leads + Tab), SC-63","DPAK"
http://www.diodes.com/_files/datasheets/ds31608.pdf,"//media.digikey.com/Renders/Diodes%20Renders/MFG_TO-252-3,D-Pak,SC-63.jpg",MJD350-13DIDKR-ND,MJD350-13,Diodes Incorporated,TRANS PNP 300V 0.5A DPAK,1856,0,"Calculate","0","1","Digi-Reel®","-","Active","PNP","500mA","300V","-","100µA (ICBO)","30 @ 50mA, 10V","15W","-","-55°C ~ 150°C (TJ)","Surface Mount","TO-252-3, DPak (2 Leads + Tab), SC-63","DPAK"
http://diodes.com/_files/datasheets/DXTN26070CY.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT89-3L.jpg,DXTN26070CY-13DITR-ND,DXTN26070CY-13,Diodes Incorporated,TRANS NPN SOT89,0,0,"0.13200","0","2500","Tape & Reel (TR)","-","Active","NPN","2A","70V","300mV @ 100mA, 1A","50nA (ICBO)","200 @ 100mA, 2V","700mW","220MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-243AA","SOT-89"
http://diodes.com/_files/datasheets/DXTN26070CY.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT89-3L.jpg,DXTN26070CY-13DICT-ND,DXTN26070CY-13,Diodes Incorporated,TRANS NPN SOT89,1693,0,"0.48000","0","1","Cut Tape (CT)","-","Active","NPN","2A","70V","300mV @ 100mA, 1A","50nA (ICBO)","200 @ 100mA, 2V","700mW","220MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-243AA","SOT-89"
